,NSTRT,ESTRT,REPORT_NO,TYPE,INJA,INJB,INJC,INJK,DIST,DIR,PRI,U1ACT,TCD,SURF,LITE,AC_DATE,AC_TIME,DIRU1,DIRU2,YEAR,INTRSECT,ID,intersection,lat_long
0,WYLIE DR,MARKET ST,20021878,2,0,2,0,0,0,,N,1,3,1,1,8/30/2002,1:03 AM,S,E,2002,,776,intersection of WYLIE DR and MARKET ST,"[40.4862913, -89.0368676]"
1,CLINTON ST WEST,OAKLAND AVE,20021871,2,1,0,0,0,0,,N,3,3,1,1,8/29/2002,6:48 PM,SE,SE,2002,,268,intersection of CLINTON ST WEST and OAKLAND AVE,"[40.474071, -88.9842852]"
2,MCLEAN ST,FRONT ST,20021683,2,0,1,0,0,0,,N,3,1,9,1,8/7/2002,8:30 AM,E,W,2002,,234,intersection of MCLEAN ST and FRONT ST,"[40.4788046, -88.9885113]"
3,MAIN ST,MILLER ST,20021667,2,0,1,0,0,0,,N,99,2,9,1,8/4/2002,6:32 PM,S,NE,2002,,1495,intersection of MAIN ST and MILLER ST,"[40.4695626, -88.9932082]"
4,MASON ST,MARKET ST,20021639,2,0,0,1,0,0,,N,3,1,1,1,7/30/2002,7:56 PM,S,W,2002,,214,intersection of MASON ST and MARKET ST,"[40.4822339, -89.0000671]"
5,ALLIN ST,MONROE ST,20021584,2,0,0,0,0,0,,N,15,2,1,1,7/25/2002,5:30 PM,W,S,2002,,1004,intersection of ALLIN ST and MONROE ST,"[40.4811251, -89.00191749999999]"
6,CAROLINE ST,MARKET ST,20021580,2,0,1,0,0,125,S,N,20,1,1,1,7/24/2002,6:25 PM,N,E,2002,,839,intersection of CAROLINE ST and MARKET ST,"[40.4834289, -89.0180183]"
7,CENTER ST,CHESTNUT ST,20020222,2,0,1,0,0,100,W,N,1,1,2,3,1/30/2002,4:56 PM,W,N,2002,,766,intersection of CENTER ST and CHESTNUT ST,"[40.4856173, -88.99487599999999]"
8,PROSPECT RD,EASTLAND DR,20020077,2,0,0,0,0,0,,N,99,2,1,1,1/9/2002,5:00 PM,E,S,2002,,535,intersection of PROSPECT RD and EASTLAND DR,"[40.4840903, -88.9494404]"
9,CENTER ST,EMPIRE ST,20022269,2,0,0,1,0,0,,N,1,3,1,1,10/22/2002,12:00 PM,S,E,2002,Y,750,intersection of CENTER ST and EMPIRE ST,"[40.4881407, -88.99497629999999]"
10,REGENCY DR,OAKLAND AVE,20022293,2,0,0,0,0,0,,N,1,3,1,1,10/25/2002,1:45 PM,N,W,2002,Y,272,intersection of REGENCY DR and OAKLAND AVE,"[40.473662, -88.9572606]"
11,ERICKSON AVE,INDIANA AVE,20022181,2,1,0,0,0,100,,N,23,1,1,1,10/10/2002,4:44 PM,E,S,2002,N,913,intersection of ERICKSON AVE and INDIANA AVE,"[40.4737008, -89.0186997]"
12,CLINTON ST,CHESTNUT ST,20030571,2,0,1,0,0,100,S,Y,23,1,1,1,3/14/2003,3:58 PM,N,W,2003,N,677,intersection of CLINTON ST and CHESTNUT ST,"[40.4858126, -88.9847606]"
13,SOUTHGATE ESTATES TRAILER,TRAILER COURT,20030791,2,0,1,0,0,30,E,Y,1,1,1,1,4/19/2003,1:30 PM,N,E,2003,N,1631,intersection of SOUTHGATE ESTATES TRAILER and TRAILER COURT,"[40.6331249, -89.3985283]"
14,LANGS ALLEY,OAKLAND AVE,20031050,2,0,0,0,0,0,,N,24,1,1,5,5/21/2003,8:30 PM,NW,W,2003,Y,1056,intersection of LANGS ALLEY and OAKLAND AVE,"[40.6331249, -89.3985283]"
15,HERSHEY RD,RAINBOW AVE,20031177,2,0,0,0,0,200,N,Y,1,1,1,1,6/5/2003,3:00 PM,N,W,2003,N,318,intersection of HERSHEY RD and RAINBOW AVE,"[40.4994594, -88.9386358]"
16,MOBILE LAND,TRAILER COURT,20031354,2,1,0,0,0,0,,Y,23,1,1,3,7/2/2003,9:15 PM,N,N,2003,N,984,intersection of MOBILE LAND and TRAILER COURT,"[40.6331249, -89.3985283]"
17,MAIN ST,BEECHER ST,20031466,2,0,0,0,0,100,N,Y,20,1,1,1,7/18/2003,4:25 PM,W,S,2003,N,191,intersection of MAIN ST and BEECHER ST,"[40.6331249, -89.3985283]"
18,CENTER ST,WOOD ST,20031469,2,0,0,0,0,5,N,Y,1,1,1,5,7/18/2003,8:21 PM,S,W,2003,N,1467,intersection of CENTER ST and WOOD ST,"[40.4714112, -88.99421989999999]"
19,CLAYTON ST,OAKLAND AVE,20031593,2,0,0,1,0,0,,N,15,2,1,1,8/3/2003,1:57 PM,N,E,2003,Y,269,intersection of CLAYTON ST and OAKLAND AVE,"[40.47396579999999, -88.9856516]"
20,MAIN ST,MACARTHUR AVE,20031890,2,0,0,1,0,0,,N,1,2,1,1,9/12/2003,12:55 PM,E,S,2003,Y,1451,intersection of MAIN ST and MACARTHUR AVE,"[40.47297289999999, -88.9933398]"
21,MADISON ST,LOCUST ST,20032067,2,0,0,0,0,0,,N,1,1,1,1,10/2/2003,5:15 PM,N,W,2003,Y,197,intersection of MADISON ST and LOCUST ST,"[40.4845263, -88.99481279999999]"
22,MCLEAN ST,LOCUST ST,20032409,2,0,0,0,0,0,,N,1,2,1,5,11/19/2003,7:15 PM,S,W,2003,Y,177,intersection of MCLEAN ST and LOCUST ST,"[40.4846299, -88.9887066]"
23,MORRIS AVE,MARKET ST EAST,20032434,2,0,1,0,0,0,,N,1,3,1,5,11/21/2003,8:43 PM,N,E,2003,Y,1000,intersection of MORRIS AVE and MARKET ST EAST,"[40.4821342, -89.0061266]"
24,VETERANS PKWY,WASHINGTON ST,20040591,2,1,0,0,0,0,,N,1,3,2,5,3/14/2004,4:41 AM,W,N,2004,Y,142,intersection of VETERANS PKWY and WASHINGTON ST,"[40.4799739, -88.952772]"
25,GRANDVIEW ESTS TRAILER CT,TRAILER COURT,20041217,2,0,1,0,0,50,E,Y,23,1,1,1,6/6/2004,8:01 PM,N,S,2004,N,991,intersection of GRANDVIEW ESTS TRAILER CT and TRAILER COURT,"[40.6331249, -89.3985283]"
26,ALLIN ST,OAKLAND AVE,20041234,2,1,0,0,0,0,,N,1,2,2,1,6/10/2004,9:05 AM,N,W,2004,Y,227,intersection of ALLIN ST and OAKLAND AVE,"[40.4734992, -89.0019236]"
27,MAIN ST,LAFAYETTE ST,20041420,2,0,0,0,0,0,,N,1,2,1,1,7/5/2004,6:40 PM,S,E,2004,Y,1567,intersection of MAIN ST and LAFAYETTE ST,"[40.4632235, -88.9929458]"
28,RYAN DR,CLOUD ST,20041422,2,0,1,0,0,0,,N,1,2,1,1,7/7/2004,8:15 AM,N,E,2004,Y,1349,intersection of RYAN DR and CLOUD ST,"[40.47105639999999, -88.96907159999999]"
29,WILLIAMSBURG DR,WASHINGTON ST,20041467,2,0,0,0,0,0,,N,1,2,1,1,7/12/2004,7:00 AM,S,E,2004,Y,388,intersection of WILLIAMSBURG DR and WASHINGTON ST,"[40.4799265, -88.94624859999999]"
30,OAK ST,MARKET ST,20041494,2,0,1,0,0,0,,N,1,2,1,1,7/15/2004,5:27 PM,W,S,2004,Y,1080,intersection of OAK ST and MARKET ST,"[40.4822658, -88.99864240000001]"
31,MAIN ST,MACARTHUR AVE,20041553,2,1,0,0,0,0,,N,3,2,1,1,7/23/2004,6:40 AM,N,W,2004,Y,1451,intersection of MAIN ST and MACARTHUR AVE,"[40.47297289999999, -88.9933398]"
32,ERICKSON AVE,ILLINOIS AVE,20041596,2,1,0,0,0,1320,W,N,23,1,1,1,7/25/2004,6:45 PM,N,E,2004,N,903,intersection of ERICKSON AVE and ILLINOIS AVE,"[40.4753404, -89.01881689999999]"
33,ALLIN ST,WOOD ST,20041637,2,1,0,0,0,0,,N,99,2,1,1,8/4/2004,6:30 PM,S,W,2004,Y,1460,intersection of ALLIN ST and WOOD ST,"[40.4711807, -89.00184139999999]"
34,LIVINGSTON ST,TOKIO ST,20041826,2,0,1,0,0,0,,N,4,1,1,1,8/30/2004,9:30 AM,SW,E,2004,Y,942,intersection of LIVINGSTON ST and TOKIO ST,"[40.4662028, -89.00967039999999]"
35,LEE ST,CHESTNUT ST,20041876,2,0,0,1,0,100,E,N,99,1,1,4,9/4/2004,8:15 PM,E,E,2004,N,769,intersection of LEE ST and CHESTNUT ST,"[40.4855581, -88.99773359999999]"
36,ALEXANDER RD,BUTCHERS LN,20041878,2,1,0,0,0,0,,N,1,2,1,3,9/5/2004,7:10 PM,W,N,2004,Y,939,intersection of ALEXANDER RD and BUTCHERS LN,"[40.4660637, -89.0207272]"
37,R T DUNN DR,LAFAYETTE ST,20041943,2,0,0,0,0,0,,N,1,12,1,4,9/16/2004,11:07 PM,E,W,2004,Y,1828,intersection of R T DUNN DR and LAFAYETTE ST,"[40.4632814, -88.98830679999999]"
38,ROOSEVELT AVE,GRAHAM ST,20042024,2,0,0,1,0,0,,N,7,2,1,4,9/27/2004,8:38 PM,E,N,2004,Y,738,intersection of ROOSEVELT AVE and GRAHAM ST,"[40.4893029, -88.99693099999999]"
39,EAST ST,OLIVE ST,20042560,2,0,0,0,0,60,W,N,1,1,1,5,12/3/2004,11:38 PM,E,N,2004,N,1126,intersection of EAST ST and OLIVE ST,"[40.4770829, -88.9932098]"
40,MORRISSEY DR,VETERANS PKWY,20050756,2,0,0,0,0,0,,N,1,3,1,1,4/6/2005,7:00 AM,W,N,2005,Y,97,intersection of MORRISSEY DR and VETERANS PKWY,"[40.6331249, -89.3985283]"
41,REGENCY DR,WASHINGTON ST,20050961,2,0,1,0,0,0,,N,4,3,1,5,5/10/2005,8:31 PM,S,E,2005,Y,1240,intersection of REGENCY DR and WASHINGTON ST,"[40.4800855, -88.95935039999999]"
42,VETERANS PKWY,JUMER DR,20050973,2,0,1,0,0,500,E,Y,99,1,9,4,5/11/2005,10:34 AM,SW,NW,2005,N,19,intersection of VETERANS PKWY and JUMER DR,"[40.5063958, -88.9530992]"
